ID|google_asr_before_sep|amazon_asr_before_sep|ground_truth|google_asr_after_sep|amazon_asr_after_sep
mix53_original_1|this they lost man I was like I do not have the abilities to be able to do this|They lost me, I was like, I do not have the abilities to be able to do this.|they lost me i was like i i do not have the abilities to be able to to do this|they lost me I was like I do not have the abilities to be able to do this|
mix53_original_2|whether it's team members or maybe a brand or something like that we someone that's willing to invest it|Whether it's team members or maybe a brand or something like that or someone that's willing to invest.|it's team members or maybe a brand or something like that or someone that's willing to invest if it|any team members or maybe brand or something like that yeah someone is willing to invent if it|
mix54_original_1|Brazil and we're going to Mexico we're going to do Puerto Rico couple days in Puerto Rico and then|brazil I know we're going to uh Mexico, we're gonna do Puerto rico, couple days in Puerto rico and then.|il ah i know we're going to uh mexico we're gonna do puerto rico couple days in puerto rico and then ah|cell and we're going to Mexico we're going to Puerto Rico couple dated for leaks out and then|
mix54_original_2|I think you just have to continue the story you know he didn't want to just do the same story again we didn't want to do the same story again with|I think you just have to continue the story. You know, we didn't want to just do the same story again. We didn't want to do the same story again with explosion.|i think you just have to continue the story you know we didn't want to just do the same story again we didn't want to do the same story again with explosion|I think this is something continue to store you know we didn't want to just do the same story again so we don't want to do the same story again with explosions|
mix55_original_1|which is in the outback and there's signs in the store Windows there|Which is in the Outback and there were signs in the store windows there.|which is in the outback and ah there were signs in the store windows there ah|which of the me out back and for some reason a window is there|
mix55_original_2|of the scripts and I think audiences will have a really satisfying experience|Lovely script and I think audiences will have a really satisfying experience.|script and i think audiences will have a really satisfying experience if the|JavaScript and I think audiences do well have a recycle line store with experience potatoes|
mix56_original_1|it being abusive to the teachers but you know it's cool it's not it's not that different back in|Being abusive to the teachers, but you know, it's school, it's not it's not that different back in the back.|being abusive to the teachers but you know it's school it's not it's not that different back uh in the uh back|being a piece of to the teachers but you know it's cool it's not it's not that different it back in|
mix56_original_2|like you know I was I didn't know what to say because I didn't believe in anything I was saying you know I had|Like you know, I was I didn't know what to say because I didn't believe in anything I was saying, you know, I had nothing.|you know i was ah i didn't know what to say cause i didn't believe in anything i was saying you know i had nothing|like you know I was I didn't know what to say because I didn't believe in anything I was saying you know I had nothing|
mix57_original_1|one of the actors really I mean we just sort of we had him there always and he was just accessible and|One of the actors really, I mean we just sort of we had him there always, um and he was just accessible and every.|one of the actors really i mean we just sort of uh we had him there uh always uh and he was just accessible and ever|well the actors really I mean we just sort of we had them they're always and she was just accessible ever|
mix57_original_2|I was going to Brown University I was a women's Studies major I was doing my final project about a paper about women|I was going to Brown University, I was a women's studies major, I was doing my final project about um a paper about women and.|i was going to brown University i was a women's studies major i was doing my final project about uh a paper about women and|I'm going to the women's Studies major I was doing my final project about fk4 about women|
mix58_original_1|and I guess it's a testament to us that they're still watching them so it's a symbiotic kind of relationship and I feel like we've been met with a lot of support and|And I guess it's a testament to us that they're still watching them, so um it's it's a symbiotic kind of relationship and I feel like we've been met with a lot of support and uh.|and i guess it's a testament to us that they're still watching them so um it's it's a symbiotic kind of relationship and i feel like we've been met with a lot of support and uh|and I guess it's a testament to us that they're still watching them so it's a symbiotic kind of relationship and I feel like we've been met with a lot of support and|
mix58_original_2|yeah well we're all graduating seniors so I'd like to say we're more mature and responsible girls young ladies although when you see the oh|Um Yeah, well we're all graduating seniors, so I'd like to say we're more mature and responsible girls, young ladies, although when you see the open.|uh yeah well we're all graduating seniors so i'd like to say we're ah more mature and responsible girls young ladies ah although when you see the op|yeah well we're all graduating seniors so I'd like to say we're more mature love responsible girls young lady although when you see the oh|
mix59_original_1|for a day and item in a bit of a day and|For a day, a night and a bit of a day and.|for a day ah a night and the and the a bit of a day and ah||
mix59_original_2|and it was it was not arbitrary you know it had a real design to it|And it was it was not arbitrary, you know, it had a real design to it.|and it was it was not arbitrary you know it had a real design to a|and it was what's not true I do|
mix60_original_1|three because I couldn't really pronounce it like I couldn't do three because my voice had|three because I couldn't really pronounce it like I I couldn't do three because my voice hadn't.|three because i couldn't really pronounce it like i i couldn't do three because my voice hadn't|sorry because I couldn't really pronounce it like I couldn't do three because my voice hadn't|
mix60_original_2|that was almost like the my first memory of deep Countryside you know so I was very happy|That was almost like my first memory of deep countryside, you know, so I was very happy to.|that was almost like the my first memory of deep countryside you know so I was very happy to|that was almost my first memory was treating Countryside will know so we'll be happy|
mix61_original_1|years and I'm ready it's Seth MacFarlane you know creator of Family Guy he's he's he's got|Years and I'm ready It's Seth Macfarlane creator, family guy, he's he's he's got quite.|and i'm ready it's seth macfarlane you know creator family guy he's he's uh he's got quite|I'm ready if that's like following me on Twitter Family Guy|
mix61_original_2|she did you know and story I had terrible parents and I started staying over the house and eventually I just|She did you know and in the story I had terrible parents and I started staying over the house and then eventually I just.|did you know and in the story i had terrible parents and i started staying over the house and then eventually just|and parents and they said staying over there|
mix62_original_1|yeah I know I was mostly you played down in age across the board and it's good because you have little life experience to draw on|Yeah, no I was uh mostly you played down in age across the board and it's good because you have a little life experience to draw on.|yeah no i was uh mostly you played down in age across the board and it's good because you have a little life experience to draw on|yeah I know I'll be there mostly you play down in age across the board and it's good because you have little like experience drawn|
mix62_original_2|I thought your stories Jesse be starring Wiley yeah starring all the towns that have brought this culture that is one of the most Innovative contributions that UK to make available culture I like it|Your story, Jesse be starring Wiley starring all the dons that have brought this culture that is one of the most innovative contributions that UK has made global culture.|your story jesse be starring wiley starring all the dons that have brought this culture that is one of the most innovative contributions that UK has made global culture and|stories geography is going Wiley yeah sorry for the donors that have brought his culture that is one of the most Innovative contributions that you can double culture I like it|
mix63_original_1|different characters just in different movies it's rare to be able to play this 22 care of you|Different characters just in different movies, it's rare to be able to play this too.|characters just in different movies it's rare to be able to play this to to you know|different character Elizabeth a of different movement over to be able to display the green 22 karat yeah|
mix63_original_2|you know this film is really about a man overcoming this very extreme form of block that stands between|You know this film is really about a man overcoming this very extreme form of block that stands between him.|you know this film is really about a man overcoming this very extreme form of block that stands between him|if it still is really about and then there's a coming this very extreme forwards got stands between|
mix64_original_1|he was part of he was punished more severely than anybody else he wants to be set free and they won't so yeah it says he's conflicted and he's trapped and he makes another bad|He was he was punished more severely than anybody else. He wants to be set free and they won't. So yeah, he says he's conflicted and he's trapped and he makes another bad.|was he was punished more severely than anybody else right he wants to be set free and they won't so yeah he says he's conflicted and he's trapped and he makes another bad|he was pate was punished more severely than any girl he wants to be set free and they won't so yeah it says he's completely the needs trapped and he makes another bad|
mix64_original_2|the Cheese Touch is worse than nuclear cooties and if you touch the cheese you're an outcast nobody will hang out with you and it's just awful I would never want to be touching the cheese|The cheese touch is worse than nuclear cooties. And if you touch the cheese, you're an outcast, nobody will hang out with you and it's just awful. I would never want to be touching the cheese.|the cheese touch is worse than nuclear cooties and if you touch the cheese you're an outcast nobody will hang out with you and it's just awful i i would never want to be touching the cheese|the Cheese Touch is worse than nuclear come here are and if you touch the cheese you're an outcast nobody will hang out with you and it's just awful I would never want to be touching|
mix65_original_1|you know that from rang true for so many people you know over three generations so they remember all those lines and and Rambo they remember all the action|You know that film rang true for so many people, you know, over three generations, so they remember all those lines and and Rambo, they remember all the action.|know that film rang true for so many people you know over three generations so they remember all those lines and and rambo they remember all the action|you know that from rang true for so many people you know over three generations so they remember all those lines and poop and Rambo they remember all the action|
mix65_original_2|might be working somewhere but yeah that was awesome the season finale was last night and I was a huge part in that but it was just a fun gig and maybe|Might be working somewhere, But yeah, that was awesome. The season finale was last night and I was a huge part in that, but it was just a fun gig and maybe.|might be working somewhere but yeah that was awesome the season finale was last night and i was a huge part in that but it was just a fun gig and maybe i|might be working but yeah that was awesome the season finale with last May and I was a huge part of that but it was for fun gig and maybe I'll come|
mix66_original_1|I no longer had Burke to be Christina's Mary it was a really hard that said it was a very interesting challenge for me to write the finale|I no longer had burke to be Christina's mirror. It was really hard. That said, it was a very interesting challenge for me to write the finale.|i no longer had burke to be christina's mirror it was really hard that said it was a very interesting challenge for me to write the finale|my daughter had 400 it was really hot but that said I think it was a very interesting challenge for them to write the finale with|
mix66_original_2|troll again and he reopened all the theaters Charles second and made made England fun again and Rochester was kind of the at the helm of that in his out|Again and he reopened all the theaters, Charles second and made made England fun again and, and Rochester was kind of at the helm of that in his outrage.|all again and he he reopened all the theaters charles second and made made england fun again and and rochester was kind of at the helm of that in his outrag|troll again he reopened all the theaters child s and made made England fun again and Rochester was kind of been at the helm of that in his|
mix67_original_1|one of the biggest motivations for doing something like this because because most people would say Ecology of crazy to leave a big West End show like Wicked but then I suppose you've got this great thing of is that way|one of the biggest motivations for doing something like this, because because most people say God, you're crazy to leave a Big West End show like Wicked, but then I suppose you've got this great thing is that.|one of the biggest motivations for doing something like this because because most people say god you're crazy to leave abBig west end show like wicked but then i suppose you've got this great thing is that is that why|one of the biggest motivation for doing something like this because because most people would say College of create believe in Savvy West End show that Wicked with it as well as you've got this great thing of is that way|
mix67_original_2|always been my first love and I feel like I'm really at a good age as well to come out with the type of music I want to make so|Always been my first love and um, I feel like I'm really at a good age as well to come out with the type of music I want to make, so, um.|always been my first love and uh i feel like i'm really at a good age as well to come out with the type of music i want to make so uh|always been my first love and I feel like I'm really at a good age as well to come out with the type of music I want to make so|
mix68_original_1|so I was an extra on a Jan-Michael Vincent movie|So I was an extra on a Jan Michael Vincent movie.|so i was ah an extra on a jan michael vincent movie|then so I was an extra on a Jan-Michael Vincent movie|
mix68_original_2|I know my channel has been somewhat derelict as of late as|I know my channel has been somewhat derelict as of late as of.|i know my channel has been somewhat derelict as of late as of|I know my channel is in somewhat barrel-aged as of late as a|
mix69_original_1|but extremely caring too and I believe that's from his upbringing and what he's been through and how he's had to grow some bravery within himself to just keep himself|But extremely caring, too, and I believe that's from his upbringing and what he's been through and how he's had to grow some bravery within himself to just keep himself.|but extremely caring too and i believe that's from his upbringing and uh what he's been through and how he's had to grow some bravery within himself to just keep himself|but extremely caring too and I believe that's from his upbringing and what he's been through and how he's had to grow some bravery within himself to just keep himself go|
mix69_original_2|choose moving the movies choose me and that that's what Rajiv did Rajiv came two years ago and asked me if I want in our activities movie and|Choose movie, the movies choose me and that's what rajiv did. Rajiv came three years ago and asked me if I want to act in this movie and.|movie the movies choose me and uh that's what rajiv did rajiv came uh uh three years ago and asked me if if i want to act in this movie and uh|chains moving but they were always just me and that's what Reggie played by James came two years ago and asked me if I if I won't evil action is movies and|
mix70_original_1|I had met him that that time so really want to check if he remembers you know so I remember when you want that stage during the trailer launch I couldn't just hold myself back|I had met him that time, so I really wanted to check if you do members. So I remember when you were on that stage during the trailer launch, I couldn't just hold myself back.|i had met him that time so i really wanted to check if you do members you know so i i i remember uh when you were on that stage during the trailer launch i couldn't just hold myself back i|I have met him that that time so I really want to check if you do members you know sorry I I remember when you were on that stage during the trailer launch I couldn't find my purse back|
mix70_original_2|ending I think this is just a piece of that Journey it's not by no means answered in this movie so you know it's not tragic|Ending, Um, I think this is just a piece of that journey. It's not by no means answered in this movie. Um, so you know, it's not tragic. Um, it's.|uh i think this is just a piece of that journey it's not by no means answered in this movie uh so you know it's not tragic uh it|and I think this is a piece of that Jim it's not by no means answered in this movie so it's you know it's not tragic it|
mix71_original_1|it wasn't me not I'm not that I'm ashamed of it it's just that poor woman who was Daria|It wasn't me um I'm not I'm not that I'm ashamed of it, it's just that poor woman who was daria.|ah it wasn't me uh i'm not i'm not that i'm ashamed of it it's just that poor woman who was daria|it wasn't me not that I'm ashamed of it it's just that poor woman who was all yet|
mix71_original_2|it was a few years ago and it was a pure accident before anybody had mentioned a movie so that was just to do|It was a few years ago and it was a pure accident before anybody had mentioned a movie, so that was just to do with me.|it was a few years ago and it was a pure accident before anybody had mentioned a movie so uh that was just to do with|it was a few years ago and it was a pure accident because I anybody had mentioned in the movie so it was just to do|
mix72_original_1|I studied those tapes that I studied that footage like hours and hours and hours to make sure that I got every bit of what happened listening to what happened in the|I studied those tapes, I studied that footage like hours and hours and hours to make sure that I got every bit of what happened listening to what happened in the corner.|i studied those tapes i studied that footage like hours and hours and hours to make sure that i got every bit of what happened listening to what happened in the corn|listening to what|
mix72_original_2|in the gay community I think new but in terms of masses of people knowing it was early enough in our relationship that I think we were both a little cautious about it but then I planted a big kiss on her|In the gay community, I think new, but in terms of masses of people knowing, um, it was early enough in our relationship that I think we were both a little cautious about it, but then I planted a big kiss on her.|in the gay community i think new but in terms of masses of people knowing uh it was early enough in our relationship that i i think we were both a little cautious about it but then i planted a big kiss on her|I said we are just a day earlier|
mix73_original_1|movie and so he's are thinking of idea and it came up with this idea of a father overprotective father losing a son and searching the ocean for his son|Movie And so he started thinking of idea and he came up with this idea of a father overprotective father, losing his son and searching the ocean for his son.|movie and so he started thinking of idea and he came up with this idea of a father overprotective father losing his son and searching the ocean for his son|so he starts picking up idea and it came up with this idea of a father overprotective father losing a sudden searching the ocean for his son|
mix73_original_2|tell you which is what they put any woman in who is not what they believe to be considered for romantic lead which would be maybe because of your age or your weight and I'm|Which is what they put any woman in, who is not what they believe to be considered for a romantic lead, which would be maybe because of your age or or your weight and I'm in the.|which is what they put any woman in who is not what they believe to be considered for a romantic lead which would be maybe because of your age or or your weight and i'm in the|which is what they put any woman and who is not what they believe to be considered for romantically which would be maybe because of your age or your way and I'm in the|
mix74_original_1|sees me there on me like a pack of wolves I mean it was the worst|Sees me they're on me like a pack of bulls, I mean it was the worst.|sees me they're on me like a pack of bulls i i mean it was the worst ca|she is going to be like a pack of wolves I mean it was the worst cop|
mix74_original_2|well my brother-in-law who was proud to say is one of the original Houston Texans|Well, my brother in law, who was proud to say is one of the original Houston Texans.|well well my brother in law who was uh proud to say is one of the original houston texans|the worry is one of The Originals|
mix75_original_1|but I think that's life life Journey as a hotel a key ups and downs hotei and yes of course this is salt boat|But I think that's life, life journey as a ups and downs hotel and yes of course it's it's all about.|but i think that's life life journey as a [unintelligible] ups and downs hotel and yes of course it's it's all boug|but I think that's life life Journey at the hotel he ups and down Hold the End yes of course it sounds but what|
mix75_original_2|25 years ago you know and I was really spoiled because it was such a great experience I just thought everything was going to be like that|25 years ago, you know and I was really spoiled because it was such a great experience, I just thought everything was going to be like that.|twentyfive years ago you know and i was really spoiled because it was such a great experience i just thought everything was going to be like that and|25 years ago you know and I was really spoiled because it was such a great experience I just thought everything was going to be like that|
mix76_original_1|exploring that as an actor and exploring that through the performance and together with all these guys|Exploring that as an actor and exploring that through the performance and together with all these guys.|exploring that as an actor and exploring that through the performance and together with all these guys|it's exploring that as an actor it's going out through the performance and together with all these guys|
mix76_original_2|Raleigh convention I've done so it's exciting to be here I've never been to Raleigh ever for a convention and|Raleigh Convention I've done so, it's exciting to be here. I've never been to Raleigh ever for convention.|raleigh convention i've done so it's it's exciting to be here i've never been to raleigh ever for convention|Raleigh convention I've done so it's exciting to be here I've never been to rallies ever for a convention and|
mix77_original_1|work toward the greater good and that's something that I think as much as this is so fiction and so entertainment|Work toward the greater good and that's something that I think as much as this is so fiction and so entertainment.|work toward the greater good and that's something that i think as much as this is so fiction and so entertainment|work toward the greater good and that's when would I think as much as this is so fiction and so entertainment|
mix77_original_2|well when I came here two years ago I think I ran my fastest of the year on this track so I think I'm going to run pretty fast|Um well, when I came here two years ago, I think I ran my fastest of the year on this track, so I think I'm gonna run pretty fast.|uh well when i came here two years ago i think i ran my fastest of the year on this track so i think i'm gonna run pretty fast|well when I came here two years ago I think I ran my fastest of the year on this track so I think I'm going to run pretty fast|
mix78_original_1|because your lives are intertwined you|Um because your lives are intertwined, you interact.|uh because your lives are intertwined you interact|because your lives are intertwined you interact|
mix78_original_2|that to get me to stock but in order for you guys to understand my|Yeah to get me to stop but in order for you guys to understand my.|to get me to stop but in order for you guys to understand my|at to give me the stock but in order for you guys to understand my|
mix79_original_1|different viewpoints of faith and yet I think ultimately everybody|Different viewpoints of faith and yet, um I think ultimately everybody.|uh different viewpoints of faith and yet uh i think ultimately everybody|different viewpoints of faith and yet I think ultimately everybody|
mix79_original_2|and I think women are saying that so it's actually probably more useful to think of women|And I think women are saying that so you it's actually probably more useful to think of women.|and i think women are saying that so you it'll it it's actually probably more useful to think of women|and I think women are saying that so you it's actually probably more useful to think of women|
mix80_original_1|and and I talked to actually talk this out with Millie gussie who was the casting director at|And uh and I talked to actually talked this out with Millie Gussie, who was the casting director at paramount.|and uh and i talked to actually talked this out with millie gussie who was the casting director at paramount|and and I talked to actually talk this out with Millie gussie who was the casting director at|
mix80_original_2|that was one of the first time I could see myself directing something that I was not writing you know because I always usually I like to be in there|That was one of the first time I could see myself directing something that I was not writing, you know, because usually I like to be in writing.|that was one of the first time i could see myself directing something that i was not writing you know because usually I like to be in write|that was one of the first time I could see myself acting something that I was not writing you know because I always you to do I like to be in|
mix81_original_1|into a festival see if they've got a billboard set up there you know we tried lots of different ways and move|Into a festival, so if they've got billboards set up there, you know, we've tried lots of different ways and.|festival so if they've got billboards set up there you know we've tried lots of different ways and|interface goes if you go board set up there you know we tried lots of different ways and move|
mix81_original_2|there's a very interesting back story to your current|There's a very interesting back story too, your current.|very interesting back story to your current rol|the very interesting back story through your core|
mix82_original_1|it was just going to go on forever working working working and I wanted to just know who I was again and not just this glamorous woman so I moved up to Seattle I had a|It was just going to go on forever working, working, working and I wanted to just know who I was again and not just this glamorous woman, so I moved up to Seattle I had a wonderful.|it was just going to go on forever working working working and i wanted to just know who i was again and not just this glamorous woman so i moved up to seattle i had a wonder|it was just going to go on forever working working working and I wanted to just know who I was again and not just as glamorous woman so I moved up to Seattle I had a Wonder|
mix82_original_2|you knew that the guy who saved him was this wonderful Maverick Australian speech therapist to failed Shakespearean actor not even a doctor and it's that is that combination that's extraordinary and the excitement of that that know|We knew that the guy who saved him was this wonderful maverick Australian speech therapist, a failed Shakespearean actor, not even a doctor. And it's that combination that's so extraordinary and the excitement of that, that no one.|that the guy who saved him was this wonderful maverick australian speech therapist a failed shakespearean actor not even a doctor and it's that it's that combination that's so extraordinary and the excitement of that that no one|I knew that the guy who saved him was this wonderful Maverick Australian speech therapist of failed Shakespearean actor not even a doctor and it's that is that combination that so extraordinary and the excitement of that would know|
mix83_original_1|anybody yes it is a big hit and then he became an even bigger hit when the president the United States|Well, yes, it is a big hit and then it became an even bigger hit when The President the United States.|well yes it it is a big hit and then it became an even bigger hit when the president the united states|hey buddy yes if it is a big hit when the president United States|
mix83_original_2|he was on papers and I said but I didn't know that and I thought the direct Ahmad come|He was all in favor of Southern accent, but I didn't know that and I thought the director had come.|he was all in favor of southern accent but i didn't know that and I thought the director might come|he's on paper but I just know that and I thought it directly tell him|
mix84_original_1|I like to create I guess I'm very creative person and I have a lot of fun doing different voices and stuff|I like to create I guess, a very creative person and I have a lot of fun doing different voices and stuff.|i like to create i guess a very creative person and i i have a lot of fun doing different voices and stuff|I like to create I guess I'm very creative person and I have a lot of fun doing different|
mix84_original_2|and all of a sudden song comes on I can like scroll through every time I've ever heard that song the from the first time to the last time believe it|And all of a sudden a song comes on, I can like scroll through every time I've ever heard that song from the first time to the last time.|and all of a sudden a song comes on i can like scroll through every time i've ever heard that song from the first time to the last time unbelievable or i||
mix85_original_1|but of course you never hear your voice the way other people hear your voice|But of course, you never hear your voice the way other people hear your voice.|but of course you never hear your voice the way other people hear your voice|that of course for camera gear you'll and then kind of way on Craigslist yeah your voice|
mix85_original_2|you know International Airport Terminal and then kind of because of|You know international airport terminal and then kind of because of.|you know international airport terminal and then kind of because of|you know Innovation is your terminal your voice incongruity could give her your books|
mix86_original_1|you wanted to give the money back he couldn't find it the way to do it and what hope what just opened his mind is when he fired this|He wanted to give the money back. He couldn't find it the way to do it, and what what just opened his mind is when he had this idea.|he wanted to give the money back he couldn't find it the way to do it and what what just opened his mind is when he had this id|you wanted to give the money back couldn't find it the way to do it and what is open what just open his mind is when he had this|
mix86_original_2|for 20 seconds right mean the amount of time that that's awkward as maybe during the ordering and when the food first comes but when you get into|For 20 seconds, I mean the amount of time that that's awkward is maybe during the ordering the food first comes, but when you get into conversation.|for twenty seconds right I mean the amount of time that that's awkward is maybe during the ordering the food first comes but when you get into conversation|for 20 seconds write me the amount of time but that's awkward as maybe during the ordering then when the food first purpose of the conversation|
mix87_original_1|rolling in Ken Burns Civil War to be fair I was his voice and and there was a lot of Civil War and very little like that would have well I was there too|Well in, in ken Burns civil war to be fair, I was his voice and, and there was a lot of civil war and very little Lincoln I would have.|well in in ken burns civil war to be fair i was his voice and and there was a lot of civil war and very little lincoln i would have|rolling in Timber and Civil War to be fair I was voice and and there was a lot of Civil War and very little link I would have wept out there|
mix87_original_2|if you're gonna do it do it I mean you can step off the diving board if you know if you sink to the bottom rise up and get|If you're gonna do it, do it, I mean step off the diving board if you know if you sink to the bottom, rise up and get out.|if you're gonna do it do it i mean step off the diving board if you know if you sink to the bottom rise up and get out|if you're going to do it do it I mean yes step off this is diving voice if you know if you sink to the bottom rise up and get out|
mix88_original_1|they can inflate their a couple days to Utah I'm really excited about that|Taking a flight there in a couple of days um to Utah, I'm really excited about that, um it's a|taking a flight there in a couple of days um to Utah i'm really excited about that uh it s a|- flight there a couple days feeds off I'm really excited about that|
mix88_original_2|I did that for 17 years I've kind of known a lot next year you gotta get into shape but it kind of is puts a bit|I did, but for 17 years I've kind of known lot next year you got to get into shape. It kind of puts a bit of a.|í did but for seventeen years i've kind of known lot next year you got to get into shape it kind of puts a bit of a|I did that for seven years I've kind of earned a lot next year you gotta give them the shape that's kind of his foot the bill|
mix89_original_1|the humor in the part that I play comes out of his|The humor in the part that I play comes out of his frustrated.|the humor in the part that i play comes out of his frustrate|the humor in The Parlor I play comes out of his|
mix89_original_2|Euler Originals in my house that I've framed there all over the house so his story|Originals in my house that I framed, they're all over the house so his story board.|originals in my house that i framed they're all over the house so his story board|we're original Chris and myself that I pray they're all over the house whose stories|
mix90_original_1|you know fast-paced and exciting but at the same time it was bringing up some really interesting philosophical|you know, fast paced and exciting, but at the same time, it was, you know, bringing up some really interesting philosophic.|[unintelligible] and exiciting but but and the same time it was uh you know bringing up very interesting philosophy|no look at her jokes and exciting but at the same time heat about it was to bring up some really interesting stuff pocket|
mix90_original_2|actress who likes her job and she rolled her sleeves up and she saw me thought about her backstory as her character and I was the rudest I've ever been| Actress who likes her job and she rolled her sleeves up and she thought about her backstory as her character and I was the rudest I've ever been to.|actresses who likes her job and she wrote [unintelligible] a backstory as her character i was the rudest i've never been to|22 like 30 but she riding leave that open God brought about a back story as her character and some I was the rudest overspend|
mix91_original_1|NBA caliber your 6th grade son might be a sixth grade all stuff but he's not Michael Jordan's or much as|NBA caliber and your sixth grade son might be 1/6 grade ulster, but he's not Michael Jordan.|nba caliber and your sixth grade son might be sixth grade ulster but he's not michael jordan|NBA caliber music straight sin might be absence trade-offs that he's not Michael Jordan your message|
mix91_original_2|you know I was absolutely terrified about meeting her because I'd read so much about her at that stage and she's just such|I was absolutely terrified about meeting her because I had read so much about her at that stage and she is just such a.|you know i was absolutely terrified about meeting her because i had read so much about her at that stage and she is just such a|you know it's absolutely terrified about Filippo so this I've read so much about her at that stage and she's just such|
mix92_original_1|this person is following in the footsteps of Hitler because it says something about someone who is a group that already demonize is a kind of like|This person's following in the footsteps of Hitler because it says it about someone who is a group that already demonized as a kind of like legitimate.|this person's following in the footsteps of hitler because it says it about someone who is a group that already demonized as a kind of like legitima|this version following in the footsteps of great laughter that's because this is positively about someone scream that's used to already humanize the kind of like that you|
mix92_original_2|on a you know on a stage in the theater you have 2,000 people kind of right there with you screaming on already yeah there's you kind of it can't find that feeling|On, you know, on a stage in the theatre, you have 2000 people kind of right there with you screaming and hollering. Yeah, there's you kind of you can't find that feeling.|on you know on a stage in the theatre you have two thousand people kind of right there with you screaming and hollering yeah there's you kind of you can't find that feeling|you know I'm Steven I figure you've 2000 people kind of right there with you screaming hollering yeah they're speaking in front of him|
mix93_original_1|characters on the personality instead of the look of the person because the the puppet that I made of based on Skylar was|Characters are under personality instead of the look of of the person, because the puppet that I made of based on scholar was.|characters are under personality instead of the look of of the person because the puppet that i made of based on scholar was|there are two kind of personality you should have because of the person's because the public that I made of baseballs challenge|
mix93_original_2|I don't know I just don't think so no thanks anyway okay so we can get it in now a couple weeks goes by another sketch gets thrown out|I don't know. I just don't think so. No, no, no thanks anyway. Okay, so we didn't get it in a couple of weeks, goes by. Another sketch gets thrown out.|i don't know i just don't think so no no no thanks anyway okay so we didn't get it in a couple of weeks goes by another sketch gets thrown out|I don't know I just don't think so no thanks anyway okay so we can get it in with now couple weeks goes by another sketch gets thrown out|
mix94_original_1|as in classical and R&B and gospel in New Orleans and all of those different types of music you would you would go into one world and sort of crave the other one|As in classical and r and B and Gospel, in in New Orleans and all of those different types of music, you would you would go into one world and sort of crave the other one um.|as in classical and r and b and gospel in in new orleans and all of those different types of music you would you would go into one world and sort of crave the other one uh|as in classical and Audrina gospel in your single Orleans and all of those different types of music you would she would go into one world and sort of crazy other ones|
mix94_original_2|people tell me before I'm not sure there's anything new to say you couldn't have a new angle but there's no new information the informations there was this it was new information and|People have done it before. I'm not sure there's anything new to say you couldn't have a new angle, but there's no new information. The information is, there was this, there was new information and.|people have done it before i'm not sure there's anything new to say you couldn't have a new angle but there's no new information the information is there was this there was new information and|I'm not sure there's anything new to say you can have a new angle with this knowing new information information was there was this new information|
mix95_original_1|if you can give yourself permission to not be afraid you know because you only get one round of|If you can give yourself permission to not be afraid, you know because you only get one round of it.|if you can give yourself permission to not be afraid you know because you only get one round of it|if you can give yourself permission to not be afraid you know cuz you only get one round of it|
mix95_original_2|I have a thing where I get really nervous when they give me a hard copy because I'm like just give me just email it to me|Have a thing where I get really nervous when they give me a hard copy because I'm like, just give me just email it to me.|have a thing where i get really nervous when they give me a hard copy because i'm like just give me just email it to me|I have a thing where I get really nervous when they give you a hard copy paper cuz I'm like just give me email it to me|
mix96_original_1|I'm very very excited it's just now kind of we're just now starting to really|I'm very, very excited, it's just now kind of we're just now starting to really press.|i'm very uh very excited it's just now kind of we're just now starting to really press|very very excited it's just now kind of we're just now turned really depressing|
mix96_original_2|shooting on Monday I think called royal Scandal which is playing the Prince of Wales|Shooting on monday A thing called royal scandal which is playing the Prince of Wales.|shooting on monday a thing called royal scandal which is uh playing the prince of wales|shooting on Monday I think we'll Royal Scandal which you'll be playing the Prince of Wales|
mix97_original_1|to 2D or even you know amazing Pixar Animation because everything is real|22 D or even amazing Pixar animation because everything is real.|to to the or even amazing pixar animation because everything is real|to 2D or even amazing Pixar Animation out everything is real|
mix97_original_2|that was the perfect moment for that over your shoulder I see someone I know and|That was the perfect moment for that and over your shoulder I see someone I know and.|that was the perfect moment for that and over your shoulder i see someone i know and|it's the perfect moment for that over your shoulder I someone I know at|
mix98_original_1|them sometimes you know and and the thing is Captain Flint is one of those garages where you you're intrigued by him he's very enigmatic you like him he's got a charm but at the same time he does terrible things which makes it|Sometimes, you know, and the thing is Captain flint is one of those characters where you're intrigued by him. He's very enigmatic, you like him, He's got a charm, but at the same time he does terrible things, which makes it ha.|sometimes you know and the thing is captain flint is one of those characters where you're intrigued by him he's very enigmatic you like him he's got a charm but at the same time he does terrible things which makes it ha|them sometimes you know and and the thing is Captain Flint is one of those characters where you you're intrigued by him he's very enigmatic you like him he's got a charm but at the same time he does terrible things which makes it|
mix98_original_2|DiCaprio's company they had the idea of taking the putting the werewolf back in it which was in the old version of it and that added this whole layer of murder|Dicaprio's company, they had the idea of like putting the werewolf back in it, which was in the old version of it, and that added this whole layer of Murder Me.|uh dicaprio's company they had the idea of like putting the werewolf back in it which was in the old version of it and that added this whole layer of murder me.|DiCaprio's company they had the idea of taking the putting the werewolf back in if it was an old version of it and that added this whole layer of a murderer mix|
